category,key,description,zh-CN.speaker,zh-CN.text,en.speaker,en.text,ja.speaker,ja.text,note
system,game.title,?????,,线稿房间 GAL 模板,,Line-Art Room GAL Template,,線画の部屋 GAL テンプレート,
ui,ui.main.start,???????,,开始游戏,,Start,,スタート,
ui,ui.main.continue,???????,,继续游戏,,Continue,,続きから,
ui,ui.main.new_game,??????,,新游戏,,New Game,,ニューゲーム,
ui,ui.main.save_info_exists,???????????,,"最新存档：槽位 {0} / {1}
主按钮会读取最新存档；新游戏会从剧本起点重新开始。",,Latest save: Slot {0} / {1}\nThe main button loads the latest save; New Game restarts from the story opening.,,"最新セーブ：スロット {0} / {1}
メインボタンは最新セーブを読み込みます。ニューゲームは冒頭から始まります。",
ui,ui.main.save_info_empty,???????????,,"本地存档：无
创建存档后，主按钮会自动从“开始游戏”变为“继续游戏”。",,"Local save: None\nAfter creating a save, the main button changes from Start to Continue.",,"ローカルセーブ：なし
セーブを作成すると、メインボタンは「スタート」から「続きから」に変わります。",
ui,ui.common.settings,?????,,设置,,Settings,,設定,
ui,ui.common.quit,???????,,退出,,Quit,,終了,
ui,ui.common.exit,???????,,退出,,Exit,,閉じる,
ui,ui.common.back,????????,,返回,,Back,,戻る,
ui,ui.common.delete,?????,,删除,,Delete,,削除,
ui,ui.hud.save,HUD ??,,存档,,Save,,セーブ,
ui,ui.hud.load,HUD ??,,读档,,Load,,ロード,
ui,ui.hud.auto,HUD ??,,自动,,Auto,,オート,
ui,ui.hud.auto_on,HUD ????,,自动中,,Auto On,,オート中,
ui,ui.hud.skip,HUD ??,,跳过,,Skip,,スキップ,
ui,ui.hud.skip_on,HUD ????,,跳过中,,Skipping,,スキップ中,
ui,ui.hud.hide,HUD ?????,,隐藏,,Hide,,非表示,
ui,ui.hud.history,HUD ??,,历史,,Log,,履歴,
ui,ui.hud.title,HUD ???,,标题,,Title,,タイトル,
ui,ui.dialogue.continue,??????,,点击或空格继续,,Click or Space to continue,,クリックまたはSpaceで続行,
ui,ui.dialogue.choose,??????,,请选择,,Choose,,選択してください,
ui,ui.dialogue.typing,?????,,显示中...,,Typing...,,表示中...,
ui,ui.dialogue.skipping,?????,,跳过中,,Skipping,,スキップ中,
ui,ui.explore.title,????,,选择调查地点,,Choose a place to inspect,,調べる場所を選択,
ui,ui.history.title,????,,历史文本,,History Log,,履歴ログ,
ui,ui.history.empty,????,,暂无历史文本。,,No history yet.,,履歴はまだありません。,
ui,ui.save.title,?????,,存档,,Save,,セーブ,
ui,ui.load.title,?????,,读档,,Load,,ロード,
ui,ui.save.action,??????,,保存,,Save,,保存,
ui,ui.load.action,??????,,读取,,Load,,読込,
ui,ui.save.slot_empty,?????,,槽位 {0}  空,,Slot {0}  Empty,,スロット {0}  空,
ui,ui.save.slot_filled,????????,,槽位 {0}  {1}  {2}  {3},,Slot {0}  {1}  {2}  {3},,スロット {0}  {1}  {2}  {3},
ui,ui.save.slot_broken,??????,,槽位 {0}  存档损坏,,Slot {0}  Save corrupted,,スロット {0}  セーブ破損,
ui,ui.settings.text_speed,???????,,文本速度,,Text Speed,,文字速度,
ui,ui.settings.auto_delay,???????,,自动间隔,,Auto Delay,,オート間隔,
ui,ui.settings.volume,??????,,主音量,,Master Volume,,音量,
ui,ui.settings.camera_height,??????,,摄像头高度,,Camera Height,,カメラ高さ,
ui,ui.settings.fullscreen,???????,,全屏显示,,Fullscreen,,フルスクリーン,
ui,ui.settings.skip_unread,???????,,允许跳过未读文本,,Skip Unread Text,,未読スキップ許可,
ui,ui.settings.language,???????,,语言：{0},,Language: {0},,言語：{0},
ui,ui.settings.open_save,????????,,打开存档,,Save Slots,,セーブ画面,
ui,ui.settings.open_load,????????,,打开读档,,Load Slots,,ロード画面,
ui,ui.settings.open_history,???????,,查看历史,,History,,履歴を見る,
ui,ui.settings.reload_text,???????,,重载文案,,Reload Text,,文言再読込,
ui,ui.settings.delete_save,???????,,删除存档,,Delete Saves,,セーブ削除,
ui,ui.toast.no_save_start_new,???????????,,没有找到可读取的存档，已开始新游戏。,,No readable save found. Starting a new game.,,読込可能なセーブがないため、ニューゲームを開始します。,
ui,ui.toast.no_progress_to_save,?????????,,当前没有可保存的进度。,,There is no progress to save.,,保存できる進行状況がありません。,
ui,ui.toast.saved_slot,???????,,已保存到槽位 {0}。,,Saved to slot {0}.,,スロット {0} に保存しました。,
ui,ui.toast.loaded_slot,???????,,已读取槽位 {0}。,,Loaded slot {0}.,,スロット {0} を読み込みました。,
ui,ui.toast.deleted_slot,???????,,槽位 {0} 已删除。,,Deleted slot {0}.,,スロット {0} を削除しました。,
